ISO_CODE,ISO_NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BIH,Bosnia and Herzegovina,4.160949,4.115976,3.789669,4.092111,4.365597,4.428884,4.006168,4.31539,4.168433,4.047626,3.960281,4.49456,4.89121,5.174923,5.060744,5.201616,5.204757,4.926713,4.794762,4.876515,5.481367,5.008138,3.814304,3.318034,0.830296,0.909875,1.158348,2.321205,2.936218,2.885882,3.774173,3.723906,3.911332,4.002134,4.227815,4.434418,4.929181,5.206201,5.725029,5.71547,5.903874,6.715541,6.668547,6.702908,6.831988,7.190721,7.293784
BWA,Botswana,0.158647,0.154283,0.158892,0.161359,0.15298,0.197581,0.788266,0.861141,0.950112,0.976281,0.558929,1.408351,1.417613,1.35142,1.298996,1.346562,1.496254,1.514735,1.757396,1.8795,2.161601,2.076702,2.450062,2.367523,2.216763,2.242694,1.976289,2.056031,2.435833,2.42282,2.534574,2.33512,2.395901,2.328093,2.353019,2.47745,2.451312,2.389914,2.370736,2.230227,2.581405,2.354602,2.405829,2.505402,3.20026,3.026491,2.861524
BRA,Brazil,1.086793,1.056792,1.127865,1.273884,1.347038,1.38074,1.508074,1.520284,1.596164,1.671008,1.622783,1.474367,1.432228,1.328439,1.312115,1.350243,1.48284,1.485176,1.478925,1.466449,1.448351,1.467643,1.460911,1.495548,1.513938,1.610376,1.711986,1.790187,1.819847,1.841951,1.903942,1.891799,1.871369,1.818832,1.88754,1.880508,1.89745,1.961544,2.044854,1.891243,2.130762,2.198531,2.251378,2.376756,2.472822,2.393138,2.225937
BRN,Brunei Darussalam,14.18855,12.57261,14.10945,15.96325,15.47579,14.99964,16.47247,16.06495,16.17553,14.06213,17.06147,14.04442,14.73417,15.21134,13.83893,13.45349,13.00288,12.86185,13.11786,12.61722,12.86822,13.79107,14.10591,14.33679,14.95204,15.73872,16.06878,17.4612,14.51541,13.9447,14.51806,14.14987,13.67079,16.01377,14.53595,14.08473,20.6628,19.32682,20.97883,20.66589,18.74274,18.94591,17.84905,17.5132,16.78928,17.72636,18.13742
BGR,Bulgaria,8.242818,8.185436,8.411998,8.516945,8.639824,9.159852,9.24594,9.550531,9.837579,10.17558,10.48531,9.996398,10.21016,10.06869,9.877647,10.1296,10.2735,10.32326,10.23824,10.16626,9.267341,7.156192,6.896396,7.079294,6.931696,7.118195,7.301684,6.877043,6.512053,5.880408,5.878875,6.199531,5.909999,6.728912,6.558176,6.75475,6.977927,7.53746,7.199023,6.161931,6.566002,7.285842,7.251792,6.542882,7.048781,7.537466,7.135051
BFA,Burkina Faso,0.075439,0.074482,0.08642,0.077938,0.079713,0.0902,0.080172,0.082957,0.082287,0.094114,0.095344,0.090648,0.09169,0.086761,0.081777,0.082624,0.08374,0.100923,0.101355,0.100689,0.082479,0.096289,0.094881,0.096528,0.107679,0.109669,0.109378,0.131731,0.116791,0.109109,0.102512,0.104198,0.094451,0.09963,0.102383,0.105288,0.107194,0.116894,0.135446,0.128132,0.135297,0.135814,0.136384,0.13096,0.127984,0.125992,0.126455
BDI,Burundi,0.065007,0.062496,0.067528,0.065309,0.066388,0.071783,0.065343,0.067536,0.067343,0.076818,0.079144,0.074257,0.078703,0.074777,0.072169,0.074239,0.071631,0.084047,0.092268,0.095769,0.078059,0.090863,0.088784,0.091058,0.105768,0.108296,0.107541,0.122108,0.108057,0.099395,0.091534,0.10232,0.100333,0.108547,0.106851,0.102196,0.099231,0.104562,0.107164,0.099043,0.104546,0.107064,0.108167,0.106251,0.105905,0.104288,0.104154
CPV,Cabo Verde,0.14937,0.147519,0.158851,0.175253,0.18209,0.196581,0.284394,0.297435,0.317275,0.390928,0.379246,0.392154,0.150599,0.157345,0.183785,0.185248,0.099906,0.128122,0.141933,0.133629,0.131264,0.1412,0.134309,0.127289,0.113507,0.119202,0.122054,0.133179,0.12349,0.124846,0.176295,0.148556,0.148133,0.148598,0.150619,0.152225,0.150068,0.163966,0.166968,0.163808,0.17357,0.179094,0.180127,0.178352,0.18328,0.182315,0.184606
KHM,Cambodia,0.054186,0.053348,0.058316,0.059812,0.060915,0.07082,0.069436,0.089226,0.080677,0.086826,0.093096,0.095926,0.095014,0.093979,0.093209,0.099016,0.0963,0.10825,0.101908,0.095073,0.103525,0.093446,0.087965,0.085973,0.085113,0.138703,0.149382,0.155297,0.169888,0.16163,0.162436,0.174805,0.176789,0.185834,0.183066,0.200746,0.220708,0.253715,0.282865,0.291351,0.289988,0.308164,0.314918,0.319118,0.370912,0.389272,0.4112
CMR,Cameroon,0.132786,0.136519,0.137865,0.141351,0.134094,0.165582,0.149901,0.204079,0.215031,0.227538,0.234817,0.244063,0.251563,0.464721,0.474125,0.45111,0.521544,0.46406,0.296774,0.400699,0.388949,0.357566,0.334564,0.35312,0.716373,0.684737,0.631391,0.614418,0.620943,0.589909,0.586005,0.547681,0.51355,0.495533,0.497194,0.488112,0.486781,0.52655,0.530053,0.546764,0.503184,0.481349,0.356938,0.381537,0.386294,0.405706,0.404031
